# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
388,1766559659.095221,1241600,0.07833334058523178,1948.0,0.9986476898193359,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.9142723083496094,-0.030337071046233177,1603.0,0.9975191950798035
389,1766559663.283477,1244800,0.06833333522081375,2049.0,0.9983766078948975,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.9142723083496094,-0.030337071046233177,1603.0,0.9975191950798035
390,1766559665.244341,1248000,0.06833333522081375,2049.0,0.9983766078948975,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.8332255482673645,-0.030337071046233177,1603.0,0.9975191950798035
391,1766559665.6935358,1251200,0.06833333522081375,2049.0,0.9983766078948975,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.8332255482673645,-0.01888888143002987,1962.0,0.9965223670005798
392,1766559674.1213028,1254400,0.06833333522081375,2049.0,0.9983766078948975,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.8332255482673645,-0.0076923007145524025,1564.5,0.9918050765991211
393,1766559692.6939526,1257600,0.06333333998918533,1903.0,0.9983515739440918,-0.008196724578738213,1390.25,1.0022411346435547,0.07083333283662796,1262.5,0.8332255482673645,-0.0076923007145524025,1564.5,0.9918050765991211
394,1766559692.955699,1260800,0.06333333998918533,1903.0,0.9983515739440918,0.00806451216340065,1220.25,1.2630192041397095,0.07083333283662796,1262.5,0.8332255482673645,-0.0076923007145524025,1564.5,0.9918050765991211
395,1766559700.8909705,1264000,0.06333333998918533,1903.0,0.9983515739440918,0.00806451216340065,1220.25,1.2630192041397095,0.06629212945699692,1210.666748046875,0.8440618515014648,-0.0076923007145524025,1564.5,0.9918050765991211
396,1766559705.0520976,1267200,0.0533333383500576,3601.0,0.9986670613288879,0.00806451216340065,1220.25,1.2630192041397095,0.06629212945699692,1210.666748046875,0.8440618515014648,-0.0076923007145524025,1564.5,0.9918050765991211
397,1766559709.230721,1270400,0.0533333383500576,3601.0,0.9986670613288879,0.00806451216340065,1220.25,1.2630192041397095,0.06629212945699692,1210.666748046875,0.8440618515014648,-0.003985498566180468,1387.0,0.9940418601036072
